Vendedor  Mes   Visitas   Ventas
1         1     78        21
1         2     69        45
1         3     88        3
1         4     148       115
1         5     152       94
1         6     130       57
1         7     115       3
1         8     141       4
1         9     196       123
1         10    153       27
1         11    88        25
1         12    96        36
2         1     142       81
2         2     65        18
2         3     96        59
2         4     147       137
2         5     180       71
2         6     96        91
2         7     139       58
1         1     105       38
2         3     87        42
3         5     120       76
4         7     96        15
5         2     140       132
6         4     110       54
7         8     98        21
8         6     123       99
9         9     85        40
10        12    111       67
3         11    134       70
6         10    92        12
2         1     108       100
4         2     76        18
7         5     149       130
5         8     132       65
8         3     101       43
9         6     115       58
10        7     90        49
1         12    145       121
